start_x,start_y,end_x,end_y,traj_id,cluster_id,seg_id
-166.49722,53.9036,-166.85367,54.52546,43676060,-1,0
-166.85367,54.52546,-166.79179,54.42581,43676060,-1,1
-166.79179,54.42581,-165.79636000000005,54.12566,43676060,-1,2
-165.79636000000005,54.12566,-165.79635,54.12565,43676060,-1,3
-165.79635,54.12565,-166.24382,54.14526,43676060,-1,4
-166.24382,54.14526,-165.79635,54.12566,43676060,-1,5
-165.79635,54.12566,-165.79635,54.12565,43676060,-1,6
-165.79635,54.12565,-165.79637,54.12565,43676060,-1,7
-165.79637,54.12565,-165.79635,54.12564,43676060,-1,8
-165.79635,54.12564,-166.80531000000005,54.44744,43676060,-1,9
-166.80531000000005,54.44744,-165.79634,54.12565,43676060,-1,10
-165.79634,54.12565,-165.79634,54.12564,43676060,-1,11
-165.79634,54.12564,-165.78148000000004,54.13225,43676060,-1,12
-165.78148000000004,54.13225,-165.79635,54.12565,43676060,-1,13
-165.79635,54.12565,-165.78149,54.13227,43676060,-1,14
-165.78149,54.13227,-165.79635,54.12566,43676060,-1,15
-165.79635,54.12566,-166.50971,53.91182,43676060,-1,16
-166.50971,53.91182,-166.50971,53.91182,43676060,-1,17
-166.50971,53.91182,-166.50972,53.91182,43676060,-1,18
-166.50972,53.91182,-166.51131999999996,53.91103,43676060,-1,19
-166.51131999999996,53.91103,-166.47672,53.92229,43676060,-1,20
-166.47672,53.92229,-165.79638,54.12564,43676060,-1,21
-165.79638,54.12564,-166.51134,53.91103,43676060,-1,22
-166.51134,53.91103,-166.50971,53.91185,43676060,-1,23
-166.50971,53.91185,-166.19988999999995,54.16582,43676060,-1,24
-166.19988999999995,54.16582,-166.50972,53.91183,43676060,-1,25
-166.50972,53.91183,-166.50973,53.91184000000001,43676060,-1,26
-166.50973,53.91184000000001,-166.80969,54.45437,43676060,-1,27
-166.80969,54.45437,-166.32859,54.10103,43676060,-1,28
-166.32859,54.10103,-166.33173,54.09876,43676060,-1,29
