start_x,start_y,end_x,end_y,traj_id,cluster_id
-16619.59,5416.78,-16595.955,5423.481999999999,43676060,-1
-16595.955,5423.481999999999,-16595.042,5423.631,43676060,-1
-16595.042,5423.631,-16593.393999999997,5423.899,43676060,-1
-16593.393999999997,5423.899,-16613.987,5419.524000000001,43676060,-1
-16613.987,5419.524000000001,-16613.221999999998,5419.749,43676060,-1
-16613.221999999998,5419.749,-16214.383000000002,5501.261,43676060,-1
-16214.383000000002,5501.261,-16210.754,5501.523,43676060,-1
-16210.754,5501.523,-16205.229,5502.041,43676060,-1
-16205.229,5502.041,-16230.591,5500.027999999999,43676060,-1
-16230.591,5500.027999999999,-16215.491,5501.1680000000015,43676060,-1
-16215.491,5501.1680000000015,-16218.149,5500.951,43676060,-1
-16218.149,5500.951,-16219.269,5500.865000000001,43676060,-1
-16219.269,5500.865000000001,-16206.323,5501.939,43676060,-1
-16206.323,5501.939,-16230.029999999999,5500.103000000001,43676060,-1
-16230.029999999999,5500.103000000001,-16228.186000000005,5500.288000000001,43676060,-1
-16228.186000000005,5500.288000000001,-16225.316,5500.443,43676060,-1
-16225.316,5500.443,-16650.971,5391.183,43676060,-1
-16650.971,5391.183,-16218.705,5500.91,43676060,-1
-16218.705,5500.91,-16209.5,5501.635,43676060,-1
-16209.5,5501.635,-16650.971,5391.183,43676060,-1
-16650.971,5391.183,-16266.535,5484.713000000001,43676060,-1
-16266.535,5484.713000000001,-16257.648999999996,5489.094999999999,43676060,-1
-16257.648999999996,5489.094999999999,-16256.734,5489.5790000000015,43676060,-1
-16256.734,5489.5790000000015,-16610.338000000003,5420.449,43676060,-1
-16610.338000000003,5420.449,-16255.525,5490.223,43676060,-1
-16255.525,5490.223,-16248.894999999999,5494.129,43676060,-1
-16248.894999999999,5494.129,-16618.253,5417.583000000001,43676060,-1
-16618.253,5417.583000000001,-16260.754,5487.496999999999,43676060,-1
-16260.754,5487.496999999999,-16609.275999999998,5420.714,43676060,-1
-16609.275999999998,5420.714,-16253.589,5491.258000000002,43676060,-1
-16253.589,5491.258000000002,-16253.097,5491.523000000001,43676060,-1
-16253.097,5491.523000000001,-16262.875,5486.458,43676060,-1
-16262.875,5486.458,-16259.294,5488.234,43676060,-1
-16259.294,5488.234,-16601.196000000004,5422.514,43676060,-1
-16601.196000000004,5422.514,-16596.900999999998,5423.323,43676060,-1
-16596.900999999998,5423.323,-16608.506,5420.897999999999,43676060,-1
-16608.506,5420.897999999999,-16607.465,5421.162,43676060,-1
-16607.465,5421.162,-16605.977,5421.519,43676060,-1
-16605.977,5421.519,-16622.843999999994,5415.404,43676060,-1
-16622.843999999994,5415.404,-16627.46,5412.779000000001,43676060,-1
-16627.46,5412.779000000001,-16627.783,5412.601,43676060,-1
-16627.783,5412.601,-16615.648000000005,5418.851,43676060,-1
-16615.648000000005,5418.851,-16248.516999999996,5494.354000000001,43676060,-1
-16248.516999999996,5494.354000000001,-16617.327,5418.054,43676060,-1
-16617.327,5418.054,-16619.483,5417.011,43676060,-1
-16619.483,5417.011,-16621.716,5416.021,43676060,-1
-16621.716,5416.021,-16622.586000000003,5415.572,43676060,-1
-16622.586000000003,5415.572,-16624.843,5414.223000000001,43676060,-1
-16624.843,5414.223000000001,-16626.26,5413.439,43676060,-1
-16626.26,5413.439,-16616.645,5418.375,43676060,-1
-16616.645,5418.375,-16620.153,5416.716,43676060,-1
-16620.153,5416.716,-16254.705000000002,5490.661999999999,43676060,-1
-16254.705000000002,5490.661999999999,-16250.122,5493.391999999999,43676060,-1
-16250.122,5493.391999999999,-16246.18,5495.612,43676060,-1
-16246.18,5495.612,-16616.293000000005,5418.534,43676060,-1
-16616.293000000005,5418.534,-16623.953,5414.731999999999,43676060,-1
-16623.953,5414.731999999999,-16625.695,5413.743,43676060,-1
-16625.695,5413.743,-16632.908,5409.173000000002,43676060,-1
-16632.908,5409.173000000002,-16635.385,5407.349,43676060,-1
-16635.385,5407.349,-16621.071,5416.304,43676060,-1
-16621.071,5416.304,-16630.728,5410.638,43676060,-1
-16630.728,5410.638,-16651.131999999994,5391.103,43676060,-1
-16651.131999999994,5391.103,-16231.161,5499.9580000000005,43676060,-1
-16231.161,5499.9580000000005,-16225.890999999998,5500.415,43676060,-1
-16225.890999999998,5500.415,-16222.419,5500.598000000001,43676060,-1
-16222.419,5500.598000000001,-16245.402000000002,5496.036,43676060,-1
-16245.402000000002,5496.036,-16238.919000000002,5498.347,43676060,-1
-16238.919000000002,5498.347,-16236.269999999999,5498.942,43676060,-1
-16236.269999999999,5498.942,-16223.139000000001,5500.545,43676060,-1
-16223.139000000001,5500.545,-16221.133,5500.714,43676060,-1
-16221.133,5500.714,-16571.343999999997,5415.295,43676060,-1
-16571.343999999997,5415.295,-16579.611,5412.579000000001,43676060,-1
-16579.611,5412.579000000001,-16572.038999999997,5416.2660000000005,43676060,-1
-16572.038999999997,5416.2660000000005,-16574.541000000005,5413.1810000000005,43676060,-1
-16574.541000000005,5413.1810000000005,-16576.25,5413.059000000001,43676060,-1
-16576.25,5413.059000000001,-16572.108,5413.715,43676060,-1
-16572.108,5413.715,-16665.044,5419.375,43676060,-1
-16665.044,5419.375,-16626.83,5413.133000000002,43676060,-1
-16626.83,5413.133000000002,-16651.133000000005,5391.104,43676060,-1
-16651.133000000005,5391.104,-16630.918,5410.48,43676060,-1
